"ID","Posting ID","First Name","Last Name","Status","Units","Grade Basis","Program and Plan","Academic Level","ASURITE","Residency","Zoom Email"
"1261966959","6959-899","Kaori","Fujii","ENRL (2025-10-27)","3","Standard","Ira A Fulton Engineering - Software Engineering","Senior","kfujii","Resident","kfujii@asu.edu"
"1240101287","1287-157","Kana","Fujita","ENRL (2025-10-27)","3","Standard","Ira A Fulton Engineering - Software Engineering","Sophomore","kfujita","Resident","kfujita@asu.edu"
"1230722935","2935-797","Jun","Ikeda","ENRL (2025-10-21)","3","Standard","Ira A Fulton Engineering - Software Engineering","Junior","jikeda","Non-Resident","jikeda@asu.edu"
"1219900213","0213-285","Satomi","Inoue","ENRL (2025-10-26)","3","Standard","Ira A Fulton Engineering - Software Engineering","Junior","sinoue","Resident","sinoue@asu.edu"
"1295235990","5990-128","Takuma","Inoue","ENRL (2025-10-25)","3","Standard","Ira A Fulton Engineering - Software Engineering","Junior","tinoue","Resident","tinoue@asu.edu"
"1208692316","2316-950","Yumiko","Ishikawa","ENRL (2025-10-24)","3","Standard","Ira A Fulton Engineering - Software Engineering","Junior","yishikaw","Resident","yishikaw@asu.edu"
"1249824873","4873-576","Sayuri","Ito","ENRL (2025-10-26)","3","Standard","Ira A Fulton Engineering - Software Engineering","Junior","sito","Non-Resident","sito@asu.edu"
"1211333440","3440-242","Sotaro","Kimura","ENRL (2025-10-27)","3","Standard","Ira A Fulton Engineering - Software Engineering","Sophomore","skimura","Non-Resident","skimura@asu.edu"
"1228256359","6359-477","Sayuri","Kimura","ENRL (2025-10-21)","3","Standard","Ira A Fulton Engineering - Software Engineering","Junior","skimura1","Non-Resident","skimura1@asu.edu"
"1237329805","9805-512","Kaori","Kimura","ENRL (2025-10-26)","3","Standard","Ira A Fulton Engineering - Software Engineering","Sophomore","kkimura","Non-Resident","kkimura@asu.edu"
"1299821834","1834-241","Jun","Kobayashi","ENRL (2025-10-22)","3","Standard","Ira A Fulton Engineering - Software Engineering","Sophomore","jkobayas","Non-Resident","jkobayas@asu.edu"
"1272764273","4273-803","Hideki","Maeda","ENRL (2025-10-27)","3","Standard","Ira A Fulton Engineering - Software Engineering","Sophomore","hmaeda","Non-Resident","hmaeda@asu.edu"
"1211539269","9269-321","Kumiko","Miura","ENRL (2025-10-23)","3","Standard","Ira A Fulton Engineering - Software Engineering","Senior","kmiura","Resident","kmiura@asu.edu"
"1285731679","1679-749","Akira","Mori","ENRL (2025-10-26)","3","Standard","Ira A Fulton Engineering - Software Engineering","Junior","amori","Resident","amori@asu.edu"
"1298413867","3867-894","Kumiko","Nakagawa","ENRL (2025-10-21)","3","Standard","Ira A Fulton Engineering - Software Engineering","Senior","knakagaw","Resident","knakagaw@asu.edu"
"1268987239","7239-276","Kana","Ogawa","ENRL (2025-10-22)","3","Standard","Ira A Fulton Engineering - Software Engineering","Junior","kogawa","Non-Resident","kogawa@asu.edu"
"1273045004","5004-857","Kana","Okamoto","ENRL (2025-10-24)","3","Standard","Ira A Fulton Engineering - Computer Science","Junior","kokamoto","Non-Resident","kokamoto@asu.edu"
"1272700876","0876-137","Yumiko","Ota","ENRL (2025-10-28)","3","Standard","Ira A Fulton Engineering - Software Engineering","Sophomore","yota","Resident","yota@asu.edu"
"1291994099","4099-783","Haruka","Sasaki","ENRL (2025-10-22)","3","Standard","Ira A Fulton Engineering - Software Engineering","Sophomore","hsasaki","Resident","hsasaki@asu.edu"
"1295348180","8180-621","Naoko","Sasaki","ENRL (2025-10-26)","3","Standard","Ira A Fulton Engineering - Software Engineering","Junior","nsasaki","Non-Resident","nsasaki@asu.edu"
"1297701740","1740-131","Rei","Sato","ENRL (2025-10-23)","3","Standard","Ira A Fulton Engineering - Software Engineering","Junior","rsato","Non-Resident","rsato@asu.edu"
"1212216669","6669-871","Yui","Sato","ENRL (2025-10-26)","3","Standard","Ira A Fulton Engineering - Software Engineering","Junior","ysato","Resident","ysato@asu.edu"
"1292348761","8761-883","Tomoya","Suzuki","ENRL (2025-10-26)","3","Standard","Ira A Fulton Engineering - Software Engineering","Junior","tsuzuki","Non-Resident","tsuzuki@asu.edu"
"1289413620","3620-431","Atsushi","Takahashi","ENRL (2025-10-24)","3","Standard","Ira A Fulton Engineering - Software Engineering","Junior","atakahas","Resident","atakahas@asu.edu"
"1245012812","2812-129","Minoru","Tanaka","ENRL (2025-10-24)","3","Standard","Ira A Fulton Engineering - Information Technology","Graduate","mtanaka","Resident","mtanaka@asu.edu"
"1270507934","7934-265","Haruka","Tanaka","ENRL (2025-10-22)","3","Standard","Ira A Fulton Engineering - Software Engineering","Sophomore","htanaka","Resident","htanaka@asu.edu"
"1257745245","5245-370","Kumiko","Tanaka","ENRL (2025-10-24)","3","Standard","Ira A Fulton Engineering - Software Engineering","Junior","ktanaka","Resident","ktanaka@asu.edu"
"1232244465","4465-557","Rika","Watanabe","ENRL (2025-10-24)","3","Standard","Ira A Fulton Engineering - Software Engineering","Senior","rwatanab","Resident","rwatanab@asu.edu"
"1209086204","6204-507","Yoichi","Yamamoto","ENRL (2025-10-22)","3","Standard","Ira A Fulton Engineering - Software Engineering","Junior","yyamamot","Resident","yyamamot@asu.edu"
"1202593527","3527-944","Miki","Yamamoto","ENRL (2025-10-23)","3","Standard","Ira A Fulton Engineering - Software Engineering","Junior","myamamot","Resident","myamamot@asu.edu"
